textos,contagem
ex-presidente,61
tecnologia,61
provas,60
crise,60
pesquisadores,60
exames,60
gabinete,60
fotos,60
direitos,60
apuração,60
internacional,60
respeito,59
usa,59
mp,59
melhor,59
neris,59
nesta,59
leia,59
adolescentes,59
canal,59
idade,59
informa,59
conteúdos,59
começou,59
discurso,58
investigado,58
incluindo,58
rna,58
origem,58
bahia,58
destaca,58
chamado,58
após,58
deputados,58
vacinar,57
anunciou,57
ocasião,57
acima,57
usada,57
crimes,57
usado,57
morreram,57
união,57
dúvidas,56
dezembro,56
veículos,56
vale,56
alimentos,56
suspensão,56
relator,56
valor,56
serviços,56
departamento,56
ato,56
canais,56
clínicas,55
criminosa,55
mãos,55
linha,55
análise,55
sanitária,55
lembra,55
saber,55
mais,55
apoiadores,55
confirmou,55
empresários,55
significa,55
fatos,55
político,55
escola,55
científico,54
especial,54
entenda,54
plataformas,54
celular,54
mostrou,54
declarações,54
volta,54
assunto,54
senador,54
levantamento,54
terça,53
ambiente,53
álcool,53
campina,53
senado,53
diretor,53
policiais,53
áudio,53
lima,53
receberam,53
aplicativo,53
semanas,53
capacidade,53
recomendação,53
registrada,52
leonardo,52
maria,52
conter,52
macarenko,52
post,52
alvos,52
pf,52
histórico,52
cita,52
ficou,52
evidência,52
detalhes,51
afirmação,51
subiu,51
ideia,51
página,51
ambos,51
preso,51
maneira,51
multa,51
infecções,51
plano,51
capaz,51
medo,51
monitoramento,51
povo,51
cdc,51
chamada,51
digital,50
eventos,50
assessoria,50
manifestação,50
luiz,50
circulação,50
suspeitos,50
pesquisas,50
urnas,50
redução,50
frase,50
oficiais,50
orientação,50
apresentou,50
barroso,49
hospitais,49
quadro,49
dono,49
idosos,49
clínicos,49
chegar,49
unidades,49
empresas,49
quantidade,49
série,49
mentiras,48
razão,48
apreensão,48
unimed,48
áreas,48
manifestações,48
professora,48
trecho,48
tem,48
disponível,48
distrito,48
privado,48
realizada,47
acontece,47
documentos,47
previsão,47
confirmadas,47
ajudar,47
mortos,47
continua,47
partido,47
humano,47
provisória,47
vacinada,47
somente,47
montagem,46
salomão,46
proteger,46
necessidade,46
publicou,46
cbn,46
regras,46
adultos,46
proteína,46
diversos,46
constituição,46
mário,46
silva,46
afirmam,46
apura,46
atualmente,46
bandeira,46
virologista,46
pesquisador,45
parlamentares,45
compartilhada,45
nós,45
ir,45
vamos,45
milhão,45
forças,45
técnica,45
instituição,45
realmente,45
conselho,45
declarou,45
rua,45
economia,45
funcionamento,45
ses,45
fontes,45
decreto,45
cura,45
inteligência,45
deus,44
unido,44
real,44
resultados,44
evento,44
impacto,44
comunidade,44
esquemas,44
prazo,44
profissional,44
vacinado,44
criar,44
legendas,44
voluntários,44
artur,43
setor,43
minutos,43
verdadeira,43
interior,43
investiga,43
impresso,43
central,43
homens,43
procurado,43
nos,43
movimento,43
lázaro,43
jamais,43
revista,43
imunológico,43
depois,43
possa,43
vítima,43
reino,43
voltou,43
pasta,43
pneumologista,42
dor,42
desenvolvimento,42
entrar,42
internacionais,42
entender,42
formas,42
obrigatória,42
exame,42
cruz,42
apresentar,42
especialista,42
aconteceu,42
temperatura,42
paraná,42
genético,42
entidade,42
parecer,42
desmentiu,42
ufrj,42
jornalistas,42
mentira,42
sara,42
jefferson,42
escreveu,41
prefeito,41
completaram,41
df,41
educação,41
recursos,41
possam,41
levar,41
acabou,41
postagens,41
remédio,41
massa,41
ruas,41
pena,41
1º,41
estrutura,41
bbc,41
desde,41
indígena,41
divulgada,41
rodrigues,41
atenção,41
vitamina,41
ameaça,40
deixa,40
weissmann,40
suspeita,40
decisões,40
comunicado,40
epidemia,40
conhecido,40
gerar,40
entrada,40
pátria,40
veio,40
senadores,40
circulando,40
preto,40
alto,40
havan,40
jovens,40
idades,40
nas,40
violência,40
publicações,40
completamente,40
existência,40
luís,40
sites,40
chinesa,40
protocolos,39
sessão,39
afeganistão,39
aberto,39
imunizantes,39
leva,39
sobre,39
cientistas,39
respostas,39
passar,39
grafeno,39
diferente,39
consta,39
disponíveis,39
vivo,39
específico,39
versão,39
gerais,39
contágio,39
imunizações,39
criança,39
viagens,39
manaus,39
advogados,39
força,39
opinião,39
substâncias,39
você,39
prisão,39
mandados,39
principal,39
marcelo,38
ouro,38
pede,38
reunião,38
conseguiu,38
realizados,38
lojas,38
aprovado,38
terra,38
prova,38
araçatuba,38
votos,38
fraude,38
agentes,38
ame,38
minas,38
goiás,38
fiocruz,38
paulista,38
vacinais,38
deixar,38
livre,38
decidiu,38
recomendado,38
link,38
reforço,38
bernardo,38
papel,38
único,37
americana,37
rádio,37
explicou,37
senhora,37
determinação,37
sugere,37
orientações,37
restrições,37
festa,37
apontam,37
ana,37
norte,37
apresenta,37
global,37
imune,37
hc,37
suspeito,37
riscos,37
maiores,37
reação,37
metropolitana,37
manipulação,36
emergencial,36
matar,36
registrou,36
faculdade,36
tese,36
boatos,36
ribeiro,36
bolsonarista,36
aliados,36
the,36
positivo,36
ajuda,36
funciona,36
jornalista,36
percentual,36
financiamento,36
referência,36
talibã,36
presidência,36
haver,36
indivíduos,36
avanço,36
estabilidade,36
reportagens,36
manhã,35
brasília,35
passaram,35
motivo,35
utilizaram,35
jovem,35
josé,35
paraibanos,35
teorias,35
cuidados,35
confirmados222,35
responsáveis,35
monitorada,35
dificuldade,35
órgãos,35
chinês,35
políticas,35
inquéritos,35
membros,35
poderes,35
palácio,35
estaduais,35
costa,35
distribuiu,35
pessoal,35
votação,35
seguro,35
diagnosticado,35
presença,35
realização,35
oxigênio,35
assessor,35
poderá,35
fundação,35
sequer,35
penal,35
trata-se,35
ouvidos,35
si-pni,35
novembro,35
auxílio,35
nobel,35
coletiva,34
amazonas,34
aparecida,34
usando,34
voltar,34
hoje,34
pelo,34
infectadas,34
críticas,34
português,34
animais,34
alegação,34
elas,34
comércio,34
colocar,34
integrantes,34
onda,34
usuários,34
transporte,34
queiroga,34
conhecimento,34
diário,34
tentar,34
pronto,34
ocorreram,34
psl-sp,34
wuhan,34
ex-deputado,34
mortes223,34
rapidamente,33
kfouri,33
nariz,33
h1n1,33
recomenda,33
produto,33
citado,33
entrou,33
participação,33
revela,33
anterior,33
avaliar,33
boca,33
espalhar,33
governos,33
falando,33
foram,33
tecido,33
relacionadas,33
repórter,33
reduzir,33
distribuição,33
rodrigo,33
palavra,33
mortalidade,33
indivíduo,33
parlamentar,33
disseram,33
faixa,33
embora,32
começo,32
via,32
garganta,32
filhos,32
erro,32
doentes,32
dado,32
falou,32
precisam,32
levou,32
ambientes,32
usadas,32
exatamente,32
pazuello,32
vou,32
quebra,32
regional,32
proposta,32
pai,32
ressalta,32
confirmado,32
aras,32
mudanças,32
recebido,32
passada,32
bianchi,32
complicações,32
ligação,32
segue,32
gravado,32
