estatisticas,resultados
amostras,7008.0
media,3.4071061643835616
mediana,1.0
moda,0.0
desvio,8.030567459197004
variancia,64.49001371671382
cv,2.357005350506873
minimo,1.0
q1,1.0
q2,1.0
q3,3.0
maximo,201.0
iq,0.5
amplitude,200.0
